name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Lille, Hauts-de-France, France",2025-10-21T00:00:00,56.9,56.9,52.5,85.29,0.003,100,rain,0,0,33.1,18.4,191,990.4,100,22.4,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T01:00:00,55.7,55.7,53.3,91.68,0.035,100,rain,0,0,33.8,22.2,201,990.4,100,2.5,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T02:00:00,56.1,56.1,53,89.45,0.033,100,rain,0,0,36,20.9,201,990.5,100,12.4,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T03:00:00,55.2,55.2,53.7,94.43,0.076,100,rain,0,0,38.5,19.7,212,990.9,100,3.1,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T04:00:00,55.7,55.7,54.1,94.35,0.114,100,rain,0,0,31.1,16.5,221,991.6,100,10.6,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T05:00:00,55.7,55.7,53.8,93.33,0,0,,0,0,29,14.1,221,992.1,100,9.3,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T06:00:00,55.7,55.7,53.6,92.87,0.001,100,rain,0,0,24.7,15.6,212,992.7,100,31.7,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T07:00:00,54.8,54.8,53.3,94.57,0,0,,0,0,21.8,13.3,202,993.4,100,33.6,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T08:00:00,54.7,54.7,53.3,94.71,0.008,100,rain,0,0,23.3,15.6,201,994,100,6.2,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T09:00:00,54.6,54.6,52.9,94.11,0.023,100,rain,0,0,25.2,15.5,210,994.8,100,3.7,15,0.1,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T10:00:00,54.3,54.3,52.9,95.09,0.124,100,rain,0,0,24.3,16.3,211,995.4,100,6.2,42,0.2,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T11:00:00,55.6,55.6,53.3,92.04,0,0,,0,0,26.1,14.1,211,995.9,88,12.4,165,0.6,2,,Partially cloudy,partly-cloudy-day,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T12:00:00,56.5,56.5,53,88.04,0,0,,0,0,25.1,15.5,210,996.3,100,16.8,246,0.9,2,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T13:00:00,57.8,57.8,52.5,82.22,0,0,,0,0,27.6,15.6,201,996.6,100,9.3,158,0.6,2,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T14:00:00,59.3,59.3,52.2,77.31,0,0,,0,0,26.1,14.3,201,996.3,88,18,232,0.8,2,,Partially cloudy,partly-cloudy-day,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T15:00:00,59.2,59.2,51.6,75.82,0,0,,0,0,24.3,15.1,202,996.3,100,18,137,0.5,1,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T16:00:00,59.9,59.9,50.8,71.7,0,0,,0,0,27,15.7,210,996.1,100,21.7,78,0.3,1,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T17:00:00,59.6,59.6,50.4,71.51,0,0,,0,0,25.7,11.5,200,995.9,88,23.6,56,0.2,1,,Partially cloudy,partly-cloudy-day,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T18:00:00,59.1,59.1,51.6,76.14,0,0,,0,0,23.9,8.1,192,995.6,100,36.7,10,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T19:00:00,56.9,56.9,53.6,88.7,0.03,100,rain,0,0,14.9,6.8,200,995.6,100,29.2,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T20:00:00,56.5,56.5,52.1,85.29,0.003,100,rain,0,0,25.1,9,211,996.1,100,37.3,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T21:00:00,54.8,54.8,52.1,90.74,0.001,100,rain,0,0,13.3,9.6,210,996.2,100,37.3,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T22:00:00,55.6,55.6,52.5,89.06,0,0,,0,0,16,11,220,996.3,100,37.3,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-21T23:00:00,54.6,54.6,52.1,91.34,0,0,,0,0,15.6,9,211,996.6,75,36,0,0,0,,Partially cloudy,partly-cloudy-night,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T00:00:00,54.7,54.7,52,90.76,0,0,,0,0,15.8,7.8,191,996.8,88,36.7,0,0,0,,Partially cloudy,partly-cloudy-night,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T01:00:00,54.2,54.2,51.5,90.74,0,0,,0,0,14.1,9.3,200,996.8,100,36,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T02:00:00,53.8,53.8,51.9,93,0,0,,0,0,15.6,9.2,201,997,100,37.3,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T03:00:00,53.4,53.4,51.6,93.6,0,0,,0,0,17.2,10.7,209,997.2,88,33.6,0,0,0,,Partially cloudy,partly-cloudy-night,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T04:00:00,53.4,53.4,51.6,93.61,0,0,,0,0,15.7,8.5,210,997.5,100,27.3,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T05:00:00,53.7,53.7,51.5,92.42,0.001,100,rain,0,0,14.7,10.2,229,997.8,100,5,0,0,0,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T06:00:00,52.4,52.4,51,94.9,0.015,100,rain,0,0,18.7,4.5,210,997.7,88,11.2,0,0,0,,"Rain, Partially cloudy",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T07:00:00,51.2,51.2,50.1,95.99,0,0,,0,0,7.7,5.6,191,998.2,75.9,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T08:00:00,51.2,51.2,50.3,96.63,0,0,,0,0,9,5.8,210,998.3,75,16.8,0,0,0,,Partially cloudy,partly-cloudy-night,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T09:00:00,52.4,52.4,51.5,96.68,0,0,,0,0,10.3,6.8,209,998.8,100,16.8,29,0.1,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T10:00:00,53.7,53.7,52.1,94.25,0,0,,0,0,11.2,5.9,191,999.3,100,14.3,69,0.2,1,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T11:00:00,55.1,55.1,52.5,90.66,0,0,,0,0,9.8,5.4,219,999.8,100,19.3,133,0.5,1,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T12:00:00,56.9,56.9,52.1,83.99,0,0,,0,0,14.7,7.9,210,999.9,100,18.6,166,0.6,2,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T13:00:00,58.3,58.3,51.6,78.52,0,0,,0,0,14.5,8.2,229,1000,100,21.7,239,0.9,2,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T14:00:00,58.4,58.4,51.6,78.18,0,0,,0,0,16.7,9.2,219,999.5,100,18.6,210,0.8,2,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T15:00:00,59.6,59.6,49.5,69.3,0,0,,0,0,12.9,8.5,181,998.9,100,24.9,173,0.6,2,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T16:00:00,57.9,57.9,52.4,81.62,0.007,100,rain,0,0,11.8,4.7,218,998.4,100,11.8,95,0.3,1,,"Rain, Overcast",rain,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T17:00:00,59.3,59.3,51.8,76.35,0,0,,0,0,11.1,6,209,998.1,88,26.7,78,0.3,1,,Partially cloudy,partly-cloudy-day,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T18:00:00,58.3,58.3,51,76.53,0,0,,0,0,14.2,6.8,180,997.5,75,32.9,25,0.1,0,,Partially cloudy,partly-cloudy-day,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T19:00:00,54.7,54.7,49.4,82.19,0,0,,0,0,9.6,4.7,159,997.1,99.6,36,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T20:00:00,53.3,53.3,49.8,87.72,0,0,,0,0,9.7,6.6,140,996.3,100,14.3,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
"Lille, Hauts-de-France, France",2025-10-22T21:00:00,53.8,53.8,50.7,89.25,0,0,,0,0,10.9,6.8,121,994.9,100,19.9,0,0,0,,Overcast,cloudy,"59580003,F2929,62516002,59606004,59343001"
