name,datetime,temp,humidity,precip,windgust,windspeed,cloudcover,visibility,conditions,icon
"Lille, Hauts-de-France, France",2025-10-21 12:00:00,56.5,88.04,0.0,25.1,15.5,100.0,16.8,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-10-22 12:00:00,56.9,83.99,0.0,14.7,7.9,100.0,18.6,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-10-23 11:00:00,50.7,83.64,0.009,53.0,31.7,100.0,3.7,"Rain, Overcast",rain
"Lille, Hauts-de-France, France",2025-10-23 12:00:00,51.1,93.86,0.009,54.7,21.2,100.0,1.2,"Rain, Overcast",rain
"Lille, Hauts-de-France, France",2025-10-24 15:00:00,50.3,82.98,0.003,32.0,16.8,75.0,11.2,"Rain, Partially cloudy",rain
"Lille, Hauts-de-France, France",2025-10-27 12:00:00,54.2,63.82,0.0,37.7,23.7,100.0,9.9,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-10-28 12:00:00,56.6,85.85,0.0,35.7,20.6,100.0,11.8,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-10-29 12:00:00,54.8,85.65,0.0,13.8,7.4,100.0,29.8,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-10-30 12:00:00,55.1,71.9,0.0,16.8,11.3,81.6,13.7,Partially cloudy,partly-cloudy-day
"Lille, Hauts-de-France, France",2025-10-31 15:00:00,57.5,76.49,0.0,22.3,13.2,100.0,24.9,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-03 12:00:00,51.2,91.45,0.0,28.1,16.6,100.0,6.8,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-04 12:00:00,57.9,70.5,0.0,29.8,14.5,99.9,13.0,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-05 11:00:00,58.7,64.42,0.0,24.5,15.2,33.4,19.9,Partially cloudy,partly-cloudy-day
"Lille, Hauts-de-France, France",2025-11-05 12:00:00,59.9,61.35,0.0,23.7,13.6,40.8,16.2,Partially cloudy,partly-cloudy-day
"Lille, Hauts-de-France, France",2025-11-06 12:00:00,57.6,74.68,0.0,10.1,7.0,97.8,28.6,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-07 15:00:00,56.0,83.89,0.0,20.1,10.3,100.0,24.9,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-10 12:00:0&0,50.4,84.35,0.0,24.1,13.8,75.0,18.6,Partially cloudy,partly-cloudy-day
"Lille, Hauts-de-France, France",2025-11-11 12:00:00,52.0,90.71,0.0,23.2,14.6,100.0,21.7,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-12 12:00:00,57.5,65.2,0.0,19.6,10.6,81.2,18.6,Partially cloudy,partly-cloudy-day
"Lille, Hauts-de-France, France",2025-11-13 12:00:00,57.0,80.46,0.0,15.0,8.2,100.0,23.0,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-14 12:00:00,56.5,83.41,0.0,15.1,6.8,88.0,21.7,Partially cloudy,partly-cloudy-day
"Lille, Hauts-de-France, France",2025-11-14 15:00:00,58.8,77.95,0.0,15.0,6.6,88.0,22.4,Partially cloudy,partly-cloudy-day
"Lille, Hauts-de-France, France",2025-11-17 12:00:00,43.9,82.15,0.029,36.0,10.9,100.0,23.0,"Rain, Overcast",rain
"Lille, Hauts-de-France, France",2025-11-18 12:00:00,42.9,88.39,0.0,14.7,8.3,100.0,12.4,Overcast,cloudy
"Lille, Hauts-de-France, France",2025-11-19 11:00:00,43.1,92.04,0.005,14.5,9.4,88.0,31.7,"Rain, Partially cloudy",rain
"Lille, Hauts-de-France, France",2025-11-19 12:00:00,43.6,88.43,0.005,16.6,10.4,88.0,24.9,"Rain, Partially cloudy",rain
"Lille, Hauts-de-France, France",2025-11-20 12:00:00,35.2,96.63,0.085,20.0,13.4,100.0,8.1,"Snow, Rain, Overcast",rain
"Lille, Hauts-de-France, France",2025-11-21 12:00:00,36.9,92.19,0.021,10.4,6.4,100.0,3.1,"Rain, Overcast",rain
"Lille, Hauts-de-France, France",2025-11-21 15:00:00,39.0,83.35,0.0,18.1,5.2,40.5,5.0,Partially cloudy,partly-cloudy-day
